iter	Passed	Remaining
0	3	1711
1	6	1523
2	8	1447
3	11	1408
4	13	1375
5	16	1355
6	18	1335
7	21	1335
8	24	1328
9	26	1320
10	29	1312
11	32	1304
12	34	1296
13	37	1290
14	39	1291
15	42	1289
16	45	1291
17	48	1285
18	50	1281
19	52	1271
20	55	1267
21	58	1262
22	60	1258
23	63	1254
24	65	1250
25	68	1250
26	71	1246
27	73	1245
28	76	1240
29	78	1236
30	81	1231
31	83	1227
32	86	1226
33	89	1225
34	92	1222
35	94	1218
36	97	1214
37	99	1208
38	101	1204
39	104	1200
40	106	1196
41	109	1193
42	112	1190
43	114	1187
44	117	1183
45	119	1181
46	122	1177
47	124	1173
48	127	1170
49	129	1167
50	132	1164
51	134	1161
52	137	1158
53	139	1155
54	142	1151
55	144	1149
56	147	1146
57	150	1143
58	152	1141
59	155	1138
60	157	1135
61	160	1132
62	162	1129
63	165	1126
64	167	1123
65	170	1120
66	172	1117
67	175	1113
68	177	1111
69	180	1108
70	182	1104
71	185	1102
72	188	1100
73	190	1098
74	193	1096
75	195	1093
76	198	1089
77	201	1087
78	203	1085
79	206	1082
80	208	1079
81	211	1076
82	213	1075
83	216	1072
84	219	1069
85	221	1066
86	224	1063
87	226	1060
88	229	1058
89	231	1055
90	234	1052
91	236	1049
92	239	1046
93	241	1044
94	244	1041
95	246	1039
96	250	1039
97	253	1038
98	255	1035
99	258	1033
100	260	1030
101	263	1027
102	265	1024
103	268	1021
104	270	1018
105	273	1016
106	275	1013
107	278	1010
108	280	1007
109	283	1005
110	286	1002
111	288	999
112	291	997
113	293	994
114	296	991
115	298	988
116	301	985
117	303	984
118	306	981
119	309	979
120	311	976
121	314	973
122	316	971
123	319	968
124	322	966
125	324	963
126	327	960
127	329	958
128	332	956
129	335	954
130	337	951
131	340	948
132	342	945
133	345	943
134	348	941
135	350	938
136	353	935
137	355	932
138	358	929
139	360	927
140	363	924
141	365	921
142	368	919
143	370	916
144	373	914
145	375	911
146	378	908
147	380	906
148	383	903
149	386	900
150	388	898
151	391	895
152	393	892
153	396	890
154	398	888
155	401	885
156	403	882
157	406	879
158	408	877
159	411	874
160	414	871
161	416	869
162	419	866
163	421	863
164	424	861
165	426	858
166	429	855
167	431	852
168	434	850
169	436	847
170	439	844
171	441	842
172	444	839
173	446	836
174	449	834
175	451	831
176	454	829
177	457	826
178	459	824
179	462	821
180	464	818
181	467	816
182	469	813
183	472	811
184	474	808
185	477	805
186	479	802
187	482	800
188	484	797
189	487	794
190	489	792
191	492	789
192	494	787
193	497	785
194	500	782
195	502	779
196	505	777
197	508	775
198	511	773
199	514	771
200	516	768
201	519	766
202	522	764
203	525	762
204	528	760
205	531	758
206	534	755
207	536	753
208	539	751
209	542	749
210	545	747
211	548	745
212	551	743
213	554	741
214	557	739
215	560	736
216	563	734
217	566	733
218	570	731
219	573	729
220	576	727
221	578	724
222	581	722
223	584	720
224	587	718
225	590	715
226	593	713
227	596	711
228	599	709
229	602	707
230	605	704
231	608	702
232	610	700
233	613	697
234	616	695
235	619	693
236	622	691
237	625	688
238	628	686
239	631	684
240	634	682
241	637	679
242	640	677
243	643	675
244	646	672
245	649	670
246	652	667
247	654	665
248	657	663
249	660	660
250	663	658
251	666	655
252	669	653
253	673	652
254	677	650
255	680	648
256	682	645
257	685	643
258	688	640
259	691	638
260	699	640
261	702	637
262	704	635
263	707	632
264	710	630
265	713	627
266	716	624
267	718	622
268	721	619
269	724	617
270	727	614
271	730	612
272	732	609
273	735	606
274	737	603
275	740	600
276	742	598
277	745	595
278	748	592
279	750	589
280	753	587
281	755	584
282	758	581
283	760	578
284	763	575
285	766	573
286	768	570
287	771	567
288	773	564
289	776	562
290	778	559
291	781	556
292	784	554
293	786	551
294	789	548
295	792	546
296	794	543
297	797	540
298	800	537
299	802	535
300	805	532
301	807	529
302	809	526
303	812	523
304	815	521
305	817	518
306	820	515
307	822	512
308	825	510
309	827	507
310	830	504
311	833	502
312	835	499
313	838	496
314	840	493
315	843	491
316	846	488
317	848	485
318	851	482
319	853	480
320	856	477
321	858	474
322	861	472
323	863	469
324	866	466
325	868	463
326	871	461
327	874	458
328	876	455
329	878	452
330	881	450
331	883	447
332	886	444
333	889	441
334	891	439
335	894	436
336	896	433
337	899	431
338	901	428
339	904	425
340	906	422
341	909	420
342	912	417
343	914	414
344	917	412
345	919	409
346	922	406
347	924	403
348	927	401
349	930	398
350	932	395
351	935	393
352	937	390
353	940	387
354	942	385
355	945	382
356	947	379
357	950	376
358	953	374
359	956	371
360	959	369
361	962	366
362	965	364
363	968	361
364	971	359
365	974	356
366	977	354
367	980	351
368	983	349
369	986	346
370	989	344
371	992	341
372	995	338
373	998	336
374	1001	333
375	1004	331
376	1007	328
377	1010	326
378	1013	323
379	1016	321
380	1019	318
381	1022	315
382	1025	313
383	1028	310
384	1030	307
385	1033	305
386	1036	302
387	1038	299
388	1041	297
389	1043	294
390	1046	291
391	1048	288
392	1051	286
393	1054	283
394	1056	280
395	1059	278
396	1061	275
397	1064	272
398	1066	270
399	1069	267
400	1072	264
401	1074	261
402	1077	259
403	1080	256
404	1082	253
405	1085	251
406	1087	248
407	1090	245
408	1092	243
409	1095	240
410	1097	237
411	1100	235
412	1102	232
413	1105	229
414	1107	226
415	1110	224
416	1113	221
417	1115	218
418	1118	216
419	1120	213
420	1123	210
421	1125	208
422	1128	205
423	1131	202
424	1133	200
425	1136	197
