feature,importance
최근3전_평균착순,0.08415164
최근5전_복승률,0.08411057
최근5전_평균착순,0.06843989
연령_num,0.045470864
기수_누적승률,0.031073542
부담중량,0.025407914
출전두수,0.02494879
통산_승률,0.024803784
cross_기수거리,0.024629323
조교사_누적승률,0.021811454
별정_enc,0.02154825
승급강등,0.020992722
통산_출주수,0.02048405
등급_ord,0.02024892
휴양일수,0.01984336
체중순위,0.019842751
cross_실력등급,0.01852015
경주번호,0.018329285
최근5전_승률,0.017813649
최근_경주기록,0.017355578
체중_3회이동평균,0.017339522
성별_enc,0.017279906
cross_휴양실력,0.016913194
마체중,0.016689543
최근10전_승률,0.016351633
cross_체중거리,0.01634488
최근3전_평균기록,0.016275624
거리별_출주수,0.01619649
속도_트렌드,0.016133757
기수교체,0.016096478
최근3전_G3F,0.015924929
cross_폼거리,0.015883064
거리_num,0.015749872
콤비_승률,0.015658446
마체중증감,0.015433085
거리별_승률,0.015248727
콤비_출주수,0.015005968
체중_트렌드,0.014767269
기수_누적출주,0.014534792
산지_enc,0.013856241
함수율,0.013611776
장구_count,0.013334713
날씨_enc,0.013254196
주로상태_enc,0.012289397
