strategy,bet_type,n_bets,hit_rate,avg_odds,roi,max_dd,significant
Exacta TopRated2,exacta,1277,0.29287392325763506,159.35405481597496,17.19767580266249,0.0,True
Exacta Top2Fav,exacta,1293,0.17556071152358854,8.301395204949731,0.32040835266821355,0.0,True
Fav@1000M Win,win,22,0.5,2.1999999999999997,0.2045454545454548,4.0,False
연승Underlay ratio<1.5 Place,place,246,0.8617886178861789,1.3910569105691055,-0.021951219512195252,10.899999999999995,True
HiRating60+_Odds[5-10) Win,win,347,0.13544668587896252,7.1899135446685865,-0.046974063400576194,43.699999999999996,True
Fav@1700M Win,win,117,0.39316239316239315,2.552991452991453,-0.05641025641025643,20.1,True
Win Odds [8-12),win,1609,0.09881914232442511,9.822933499067744,-0.0615288999378496,163.6,True
LowRatio<2+TopRated Win,win,164,0.49390243902439024,2.0134146341463413,-0.06829268292682922,21.0,True
Fav@국6등급 Place,place,329,0.7720364741641338,1.2185410334346505,-0.06960486322188442,27.19999999999999,True
Fav@Track=포화 Place,place,191,0.7329842931937173,1.295287958115183,-0.07853403141361259,15.400000000000011,True
LowRatio<2+TopRated Place,place,164,0.7439024390243902,1.251219512195122,-0.07926829268292679,17.6,True
Fav+SmallField Place,place,70,0.7714285714285715,1.1957142857142853,-0.08428571428571419,8.7,True
Fav@1등급 Place,place,37,0.6756756756756757,1.3675675675675674,-0.08648648648648671,6.4,False
Fav@2등급 Win,win,70,0.37142857142857144,2.641428571428572,-0.0942857142857143,14.200000000000003,True
Dist=1700M Win,win,1181,0.09652836579170194,21.950550381033022,-0.09551227773073667,171.0,True
HiRating60+_Odds[10-20) Win,win,406,0.059113300492610835,14.414039408866996,-0.10147783251231535,56.400000000000006,True
Fav+LargeField Place,place,70,0.7285714285714285,1.2471428571428569,-0.10285714285714287,6.899999999999999,True
OddsRatio [2-2.5) Place,place,996,0.5552208835341366,2.0075301204819276,-0.10291164658634533,116.59999999999997,True
LowRatio+TopRated Place,place,726,0.6542699724517906,1.4634986225895317,-0.10330578512396693,83.99999999999991,True
연승Underlay ratio<2.5 Place,place,1919,0.6331422615945805,1.7577384054194896,-0.10411672746222,211.40000000000077,True
OddsRatio [1-2) Place,place,923,0.7172264355362947,1.4881906825568796,-0.10541711809317433,100.50000000000004,True
연승Underlay ratio<2.0 Place,place,923,0.7172264355362947,1.4881906825568796,-0.10541711809317433,100.50000000000004,True
2ndFav Place,place,1293,0.5638051044083526,1.611368909512761,-0.11191028615622567,148.60000000000008,True
Fav@국6등급 Win,win,329,0.4194528875379939,2.198176291793313,-0.11550151975683887,43.59999999999999,True
Fav@혼4등급 Win,win,202,0.400990099009901,2.374257425742574,-0.12178217821782189,28.699999999999996,True
Fav@국3등급 Place,place,72,0.6527777777777778,1.401388888888889,-0.12361111111111123,11.399999999999999,True
Fav@1200M Win,win,362,0.4005524861878453,2.3646408839779007,-0.12403314917127084,52.19999999999999,True
Fav@혼3등급 Place,place,106,0.6698113207547169,1.3283018867924528,-0.12547169811320757,15.5,True
Baseline: Favorites Place,place,1319,0.6884003032600455,1.297573919636088,-0.1258529188779378,170.80000000000032,True
Fav@Track=건조 Place,place,639,0.676056338028169,1.3159624413145539,-0.1287949921752738,87.19999999999987,True
Fav@국5등급 Place,place,315,0.6730158730158731,1.324126984126984,-0.1346031746031745,46.09999999999996,True
Fav@국4등급 Place,place,151,0.6622516556291391,1.3119205298013246,-0.13509933774834426,20.100000000000005,True
연승Underlay ratio<1.5 Win,win,246,0.573170731707317,1.8004065040650408,-0.1353658536585366,35.5,True
Fav@1300M Win,win,197,0.41116751269035534,2.3086294416243653,-0.13807106598984764,39.69999999999999,True
Dist=1000M Win,win,220,0.09545454545454546,27.03363636363636,-0.14636363636363636,61.8,True
Fav@Track=불량 Win,win,47,0.40425531914893614,2.321276595744681,-0.1510638297872341,10.7,False
Place Odds [8-12),place,1319,0.08642911296436695,9.771721000758152,-0.15117513267626992,215.8,True
Fav@Track=다습 Place,place,244,0.680327868852459,1.2672131147540986,-0.15122950819672132,38.499999999999964,True
Fav@2등급 Place,place,70,0.6285714285714286,1.3814285714285712,-0.15142857142857136,11.999999999999998,True
LowRatio+TopRated Win,win,726,0.34710743801652894,2.8993112947658397,-0.1515151515151515,134.5,True
WeightBigLoss_LowOdds Win,win,372,0.30913978494623656,3.161021505376344,-0.15161290322580634,62.59999999999997,True
Win Odds [3-5),win,1387,0.21629416005767843,3.9333093006488826,-0.15277577505407358,233.30000000000015,True
Fav@Track=불량 Place,place,47,0.6808510638297872,1.2872340425531914,-0.15319148936170224,8.9,False
RatingRank3 Place,place,1069,0.3264733395696913,3.9506080449017773,-0.15715622076707203,213.7000000000001,True
WeightBigGain_LowOdds Win,win,625,0.3008,3.12016,-0.15983999999999998,104.19999999999997,True
Place Odds [1-2),place,3533,0.5776960090574582,1.5016699688649875,-0.16297763939994347,575.7999999999995,True
Sex=거 Win,win,3072,0.09798177083333333,24.08203125,-0.1670572916666666,586.6000000000004,True
Fav@혼3등급 Win,win,106,0.3584905660377358,2.4905660377358485,-0.1688679245283018,21.8,True
Fav@1800M Win,win,179,0.36312849162011174,2.493854748603352,-0.17206703910614518,34.4,True
Fav@Track=다습 Win,win,244,0.38934426229508196,2.3012295081967213,-0.17459016393442628,46.3,True
Sex=수 Place,place,5134,0.3336579664978574,4.477425009738995,-0.1747565251266071,898.499999999997,True
Win Odds [1-2),win,406,0.5197044334975369,1.6098522167487685,-0.17487684729064035,74.20000000000003,True
Track=불량 Place,place,459,0.29411764705882354,5.034422657952069,-0.1753812636165577,93.8,True
연승Underlay ratio<2.0 Win,win,923,0.41386782231852653,2.4442036836403034,-0.17757313109425799,167.10000000000014,True
OddsRatio [1-2) Win,win,923,0.41386782231852653,2.4442036836403034,-0.17757313109425799,167.10000000000014,True
Win Odds [2-3),win,698,0.336676217765043,2.4598853868194843,-0.17851002865329513,128.3,True
Baseline: Favorites Win,win,1319,0.3737680060652009,2.396057619408643,-0.17884761182714182,249.10000000000008,True
Fav@국5등급 Win,win,315,0.3682539682539683,2.464126984126984,-0.18126984126984136,72.50000000000001,True
Grade=혼4등급 Win,win,2083,0.09697551608257321,23.985981757081134,-0.184637542006721,469.99999999999983,True
Fav@Track=포화 Win,win,191,0.3769633507853403,2.3994764397905763,-0.1879581151832459,38.7,True
WeightBigLoss Place,place,2300,0.2821739130434783,5.540826086956522,-0.18804347826086953,478.10000000000014,True
연승Underlay ratio<2.5 Win,win,1919,0.3157894736842105,3.522303282959875,-0.1921834288692028,377.5000000000001,True
Grade=혼3등급 Place,place,1079,0.29471733086190915,4.201019462465245,-0.19258572752548653,213.90000000000012,True
Rating[40-60) Place,place,3434,0.31246359930110656,4.126266744321491,-0.19315666860803737,666.6999999999995,True
Fav@Track=건조 Win,win,639,0.350547730829421,2.4644757433489826,-0.19389671361502347,133.39999999999998,True
Sex=거 Place,place,3072,0.2887369791666667,4.860416666666667,-0.19430338541666659,601.1000000000003,True
2ndFav Win,win,1293,0.1871616395978345,4.554911059551431,-0.19713843774168605,267.20000000000016,True
RatingRank1 Win,win,1302,0.15284178187403993,16.443241167434714,-0.20015360983102914,296.3000000000001,True
Fav@혼4등급 Place,place,202,0.6336633663366337,1.289108910891089,-0.20148514851485144,40.99999999999997,True
Grade=혼4등급 Place,place,2083,0.28804608737397985,4.9222755640902545,-0.20254440710513688,435.69999999999976,True
Grade=2등급 Place,place,709,0.28772919605077574,4.448377997179126,-0.203667136812412,155.60000000000002,True
OddsRatio [3-4) Place,place,2816,0.3078835227272727,5.037677556818181,-0.20440340909090904,588.4000000000007,True
Dist=1200M Place,place,3817,0.2798008907518994,5.542677495415248,-0.20518731988472616,800.0999999999991,True
OddsRatio [2-2.5) Win,win,996,0.2248995983935743,4.521385542168675,-0.205722891566265,222.3000000000002,True
Fav+LargeField Win,win,70,0.38571428571428573,2.274285714285714,-0.20999999999999996,13.799999999999999,True
HiRating60+_Odds[2-5) Win,win,332,0.24096385542168675,3.4518072289156625,-0.21265060240963862,79.1,True
Sex=수 Win,win,5134,0.11725749902610051,21.427970393455396,-0.21293338527463967,1097.6999999999991,True
Dist=1400M Win,win,3275,0.09587786259541985,23.88357251908397,-0.21383206106870234,712.9999999999997,True
Grade=국5등급 Win,win,3208,0.09569825436408977,22.97400249376559,-0.2156795511221945,703.1999999999998,True
Grade=국4등급 Win,win,1528,0.0975130890052356,21.644109947643976,-0.21583769633507865,350.59999999999985,True
WeightSmallGain Place,place,4055,0.2944512946979038,4.878421701602959,-0.21632552404438965,902.9999999999992,True
WeightSmallGain Win,win,4055,0.09765721331689273,23.8839457459926,-0.21810110974106056,917.4999999999999,True
OddsRatio [6-10) Win,win,2426,0.02720527617477329,44.25737840065952,-0.21817807089859853,551.4,True
Track=다습 Win,win,2561,0.09488481062085123,25.81347130027333,-0.22237407262787978,618.1000000000004,True
Rating[0-40) Win,win,4864,0.0859375,25.437787828947368,-0.22245065789473684,1082.3000000000002,True
RatingRank2 Place,place,990,0.3606060606060606,3.5135353535353535,-0.22272727272727277,236.20000000000007,True
Rating[40-60) Win,win,3434,0.1065812463599301,19.71255096097845,-0.222859638905067,856.2000000000003,True
WeightSmallLoss Place,place,3563,0.2983440920572551,4.962952568060623,-0.22402469828795957,797.2999999999987,True
Dist=1700M Place,place,1181,0.2904318374259102,4.633276883996612,-0.22464013547840822,269.9999999999999,True
Track=포화 Place,place,1910,0.2905759162303665,4.903403141361257,-0.22481675392670153,434.6000000000002,True
FieldSize Med9-11 Place,place,12165,0.28565556925606245,4.971722153719687,-0.22622277024249893,2757.3000000000084,True
Place Odds [2-3),place,2725,0.3247706422018349,2.4136146788990827,-0.22752293577981653,623.6999999999994,True
Grade=혼3등급 Win,win,1079,0.09823911028730306,20.142817423540315,-0.22808155699721955,294.49999999999983,True
Baseline: All Place,place,13526,0.2868549460298684,5.101242052343635,-0.2306298979742718,3127.600000000009,True
TopRated+NotFav Win,win,1057,0.08703878902554399,19.702932828760645,-0.23207190160832547,289.5,True
Grade=국5등급 Place,place,3208,0.2874064837905237,4.7812655860349125,-0.23232543640897763,746.9999999999995,True
Track=건조 Place,place,6532,0.2862829148805879,5.087232088181262,-0.23308328230251074,1530.599999999997,True
Place Odds [3-5),place,2794,0.20257695060844666,3.8312813171080884,-0.23314244810307794,664.3000000000001,True
Grade=국4등급 Place,place,1528,0.2925392670157068,4.47270942408377,-0.23448952879581153,380.7000000000003,True
WeightBigLoss Win,win,2300,0.09478260869565218,27.17778260869565,-0.23456521739130431,581.7999999999997,True
Dist=1400M Place,place,3275,0.2867175572519084,4.886137404580153,-0.23575572519083965,774.3,True
OddsRatio [4-6) Place,place,5104,0.18867554858934169,6.3215713166144205,-0.23579545454545459,1207.2,True
Track=다습 Place,place,2561,0.2846544318625537,5.225927372120266,-0.23787582975400234,614.1999999999995,True
Rating[60-80) Place,place,1270,0.29763779527559053,4.5,-0.23803149606299212,313.8,True
Dist=1300M Place,place,2016,0.28720238095238093,5.420932539682541,-0.23928571428571432,494.2999999999997,True
Dist=1800M Place,place,1830,0.28852459016393445,4.7507103825136605,-0.24060109289617493,442.80000000000007,True
OddsRatio [2.5-3) Place,place,1150,0.4026086956521739,3.1809565217391302,-0.24069565217391298,277.1999999999998,True
Rating[0-40) Place,place,4864,0.26726973684210525,5.2124794407894735,-0.24375000000000002,1187.2999999999975,True
Grade=국6등급 Place,place,3393,0.28470380194518125,6.050103153551429,-0.24379605069260235,835.2999999999986,True
OddsRatio [3-4) Win,win,2816,0.09197443181818182,17.808061079545453,-0.24474431818181808,704.5000000000001,True
FieldSize Small≤8 Place,place,531,0.384180790960452,3.214500941619586,-0.2459510357815442,132.29999999999995,True
Grade=1등급 Place,place,356,0.2949438202247191,4.233426966292135,-0.2460674157303372,96.59999999999997,True
FieldSize Med9-11 Win,win,12165,0.09543773119605425,24.466099465680227,-0.24866420057542127,3033.3000000000056,True
Rating[80-120) Place,place,542,0.2878228782287823,5.605535055350553,-0.2498154981549815,150.59999999999997,True
Track=건조 Win,win,6532,0.09552969993876301,24.442728107777096,-0.25026025719534595,1654.1999999999985,True
Dist=1600M Place,place,851,0.3137485311398355,3.93807285546416,-0.2518213866039952,221.00000000000023,True
RatingRank1 Place,place,1302,0.3602150537634409,3.6380184331797234,-0.25199692780337946,346.3000000000002,True
Grade=국3등급 Place,place,730,0.2876712328767123,4.4256164383561645,-0.2538356164383563,190.29999999999995,True
Fav+SmallField Win,win,70,0.38571428571428573,2.1514285714285717,-0.2542857142857142,23.799999999999997,True
Place Odds [5-8),place,1956,0.12065439672801637,6.288087934560327,-0.25608384458077704,505.2999999999999,True
Baseline: All Win,win,13526,0.09581546650894573,25.03444477302972,-0.25721573266301945,3498.600000000006,True
Win Odds [12-20),win,2104,0.04752851711026616,15.627614068441064,-0.25803231939163507,584.5,True
Win Odds [5-8),win,1612,0.11786600496277916,6.385980148883375,-0.25856079404466514,420.2000000000001,True
Dist=2000M Place,place,312,0.27884615384615385,5.903525641025642,-0.2586538461538461,91.00000000000001,True
Track=불량 Win,win,459,0.09803921568627451,24.348583877995644,-0.2592592592592593,142.5,True
WeightBigGain Place,place,3420,0.2739766081871345,5.120350877192982,-0.2719883040935672,936.4999999999992,True
Fav@1600M Win,win,91,0.3516483516483517,2.337362637362637,-0.27362637362637354,26.400000000000006,True
Track=포화 Win,win,1910,0.09738219895287958,25.163664921465973,-0.2740837696335079,555.1000000000001,True
OddsRatio [2.5-3) Win,win,1150,0.14173913043478262,8.77,-0.27426086956521745,323.7999999999999,True
Fav@2000M Win,win,29,0.3103448275862069,2.4,-0.27586206896551724,9.7,False
Dist=1800M Win,win,1830,0.09672131147540984,22.943989071038253,-0.276448087431694,582.5,True
Win Odds [20-50),win,3700,0.022702702702702703,32.779432432432436,-0.2765675675675676,1057.0,True
WeightBigGain Win,win,3420,0.09181286549707603,24.90453216374269,-0.2809941520467836,1041.8999999999999,True
Dist=1200M Win,win,3817,0.09352894943673042,27.375320932669638,-0.28223735918260406,1091.1999999999998,True
TopRated+NotFav Place,place,1057,0.282876064333018,4.179659413434249,-0.283349101229896,317.6000000000001,True
FieldSize Large≥12 Place,place,830,0.2421686746987952,8.206626506024097,-0.2854216867469881,251.4,True
Grade=국6등급 Win,win,3393,0.09519599174771588,30.770026525198936,-0.28570586501620987,996.4999999999998,True
Place Odds [20-50),place,302,0.029801324503311258,25.469536423841056,-0.2880794701986755,137.9,True
FieldSize Large≥12 Win,win,830,0.08072289156626505,39.23096385542169,-0.29795180722891557,273.50000000000006,True
WeightSmallLoss Win,win,3563,0.09907381420151558,24.593544765646925,-0.29828795958461973,1080.3000000000002,True
Dist=1600M Win,win,851,0.1045828437132785,19.841833137485313,-0.29905992949471205,283.00000000000017,True
Fav@1400M Win,win,320,0.325,2.4053125,-0.30000000000000004,100.60000000000001,True
Fav@국4등급 Win,win,151,0.31788079470198677,2.414569536423841,-0.3006622516556291,48.79999999999999,True
Sex=암 Place,place,5320,0.24060150375939848,5.842312030075188,-0.30552631578947365,1646.9999999999993,True
RatingRank2 Win,win,990,0.12828282828282828,16.63707070707071,-0.31393939393939385,353.8000000000001,True
OddsRatio [4-6) Win,win,5104,0.03879310344827586,31.0698275862069,-0.3152821316614419,1614.6999999999994,True
Dist=1000M Place,place,220,0.2863636363636364,5.867272727272728,-0.31999999999999995,77.10000000000001,True
Dist=2000M Win,win,312,0.09294871794871795,29.449038461538464,-0.3317307692307693,127.89999999999999,True
OddsRatio [6-10) Place,place,2426,0.14674361088211046,6.1877988458367685,-0.3318631492168178,806.9000000000003,True
Fav@1등급 Win,win,37,0.2702702702702703,2.675675675675676,-0.3324324324324325,15.7,False
RatingRank3 Win,win,1069,0.10009354536950421,19.100841908325542,-0.3360149672591207,388.3,True
Grade=국3등급 Win,win,730,0.0958904109589041,20.958219178082192,-0.33945205479452045,275.2,True
Dist=1300M Win,win,2016,0.09573412698412699,27.149305555555557,-0.3462301587301587,727.0000000000001,True
Sex=암 Win,win,5320,0.07387218045112783,29.06479323308271,-0.3520112781954887,1901.7,True
Rating[60-80) Win,win,1270,0.1062992125984252,21.078976377952756,-0.35669291338582676,451.99999999999983,True
Grade=2등급 Win,win,709,0.09590973201692525,21.474047954866005,-0.35980253878702406,271.4,True
Fav@국3등급 Win,win,72,0.2916666666666667,2.6416666666666666,-0.3847222222222222,28.299999999999994,True
Rating[80-120) Win,win,542,0.0959409594095941,27.942250922509228,-0.38708487084870835,220.4,True
FieldSize Small≤8 Win,win,531,0.128060263653484,15.864595103578155,-0.3894538606403013,207.09999999999994,True
Grade=1등급 Win,win,356,0.09831460674157304,21.372191011235955,-0.3960674157303371,142.5,True
Win Odds [50-200),win,2010,0.00845771144278607,74.88860696517415,-0.4923383084577114,1046.1999999999998,True
Place Odds [12-20),place,896,0.03236607142857143,15.042075892857143,-0.5401785714285714,486.1000000000002,True
Place Odds [50-200),place,1,0.0,54.4,-1.0,0.0,False
